Open,High,Low,Close,Volume,Label
6000.0,6110.0,5660.0,6110.0,74195000.0,-1.0
5800.0,6060.0,5520.0,5580.0,74680000.0,1.0
5750.0,5780.0,5580.0,5620.0,54390000.0,-1.0
5560.0,5670.0,5360.0,5540.0,40305000.0,1.0
5600.0,5770.0,5580.0,5770.0,46880000.0,-1.0
5820.0,6100.0,5770.0,5770.0,59745000.0,-1.0
5610.0,5740.0,5600.0,5720.0,29220000.0,-1.0
5600.0,5740.0,5560.0,5710.0,41190000.0,1.0
5720.0,5880.0,5680.0,5830.0,49375000.0,1.0
6000.0,6180.0,5920.0,6100.0,63505000.0,-1.0
6160.0,6160.0,5980.0,6100.0,45260000.0,-1.0
6000.0,6040.0,5960.0,5960.0,40205000.0,1.0
5860.0,6040.0,5820.0,6040.0,37315000.0,-1.0
5950.0,5980.0,5880.0,5880.0,32535000.0,-1.0
5800.0,5900.0,5700.0,5700.0,34355000.0,-1.0
5520.0,5640.0,5440.0,5440.0,44250000.0,1.0
5500.0,5520.0,5410.0,5480.0,29285000.0,1.0
5480.0,5620.0,5430.0,5520.0,27900000.0,1.0
5640.0,5880.0,5540.0,5820.0,38315000.0,-1.0
5640.0,5730.0,5560.0,5580.0,39630000.0,-1.0
5600.0,5680.0,5260.0,5320.0,71470000.0,-1.0
5220.0,5370.0,5110.0,5250.0,64105000.0,-1.0
5250.0,5460.0,4970.0,5130.0,142765000.0,-1.0
5130.0,5130.0,5130.0,5130.0,0.0,1.0
5140.0,5330.0,5040.0,5240.0,64140000.0,1.0
5340.0,5480.0,5310.0,5430.0,58460000.0,1.0
5560.0,5720.0,5480.0,5720.0,51050000.0,1.0
5660.0,5880.0,5600.0,5760.0,61845000.0,-1.0
5960.0,5960.0,5680.0,5700.0,34660000.0,-1.0
5600.0,5660.0,5340.0,5380.0,44140000.0,-1.0
5380.0,5420.0,5140.0,5200.0,38315000.0,-1.0
5180.0,5200.0,4780.0,5000.0,73115000.0,1.0
4940.0,5100.0,4910.0,5080.0,65185000.0,1.0
5370.0,5630.0,5160.0,5300.0,108750000.0,-1.0
5200.0,5260.0,5030.0,5070.0,26485000.0,1.0
5000.0,5240.0,5000.0,5120.0,24180000.0,1.0
5220.0,5260.0,5100.0,5140.0,27720000.0,-1.0
5120.0,5240.0,5060.0,5070.0,26075000.0,1.0
5080.0,5150.0,4980.0,5120.0,27875000.0,-1.0
5000.0,5050.0,4800.0,4800.0,30140000.0,1.0
4900.0,5140.0,4840.0,5120.0,51820000.0,-1.0
5120.0,5120.0,5120.0,5120.0,0.0,1.0
5880.0,5880.0,5520.0,5880.0,117750000.0,1.0
6200.0,6250.0,5880.0,6000.0,140990000.0,-1.0
6000.0,6050.0,5600.0,5640.0,39150000.0,-1.0
5600.0,5640.0,5480.0,5620.0,30070000.0,1.0
5520.0,6000.0,5500.0,5920.0,32460000.0,-1.0
5970.0,5980.0,5620.0,5620.0,55890000.0,-1.0
5790.0,5800.0,5520.0,5540.0,28605000.0,-1.0
5480.0,5490.0,5160.0,5180.0,32215000.0,1.0
5170.0,5380.0,5160.0,5210.0,30060000.0,1.0
5200.0,5400.0,5120.0,5400.0,46105000.0,-1.0
5480.0,5520.0,5360.0,5400.0,28795000.0,1.0
5540.0,5560.0,5400.0,5480.0,24080000.0,1.0
5600.0,5710.0,5530.0,5660.0,26365000.0,1.0
5700.0,5940.0,5610.0,5880.0,44925000.0,1.0
